"ID CALENDARIO","DATA","LUOGO","INDIRIZZO","ID ATTIVITà"
3512,30/09/17,"Genova","Il Terminal","GIOCO BASKET"
3512,30/09/17,"Moncalieri","Le Porte Di Moncalieri","GIOCO BASKET"
3512,30/09/17,"Venezia","Auchan Porte Di Mestre","GIOCO BASKET"
3512,30/09/17,"Verona","Le Corti Venete","GIOCO BASKET"
3512,30/09/17,"Voghera","Montebello","GIOCO BASKET"
3512,30/09/17,"Mugnano Di Napoli","Auchan Mugnano","GIOCO BASKET"
3512,30/09/17,"Latina","Latina Fiori","GIOCO BASKET"
3512,30/09/17,"Teramo","Centro Gran Sasso","GIOCO BASKET"
3512,30/09/17,"Chieti","Megalò","GIOCO BASKET"
3512,30/09/17,"Mesagne","Auchan Mesagne","GIOCO BASKET"
3512,30/09/17,"Sesto San Giovanni","Centro Sarca","GIOCO BASKET"
3512,30/09/17,"Cesano Boscone","Auchan Cesano Boscone","GIOCO BASKET"
3512,30/09/17,"Milano","La Corte Lombarda","GIOCO BASKET"
3512,01/10/17,"Genova","Il Terminal","GIOCO BASKET"
3512,01/10/17,"Moncalieri","Le Porte Di Moncalieri","GIOCO BASKET"
3512,01/10/17,"Venezia","Auchan Porte Di Mestre","GIOCO BASKET"
3512,01/10/17,"Verona","Le Corti Venete","GIOCO BASKET"
3512,01/10/17,"Voghera","Montebello","GIOCO BASKET"
3512,01/10/17,"Mugnano Di Napoli","Auchan Mugnano","GIOCO BASKET"
3512,01/10/17,"Latina","Latina Fiori","GIOCO BASKET"
3512,01/10/17,"Teramo","Centro Gran Sasso","GIOCO BASKET"
3512,01/10/17,"Chieti","Megalò","GIOCO BASKET"
3512,01/10/17,"Mesagne","Auchan Mesagne","GIOCO BASKET"
3512,01/10/17,"Sesto San Giovanni","Centro Sarca","GIOCO BASKET"
3512,01/10/17,"Cesano Boscone","Auchan Cesano Boscone","GIOCO BASKET"
3512,01/10/17,"Milano","La Corte Lombarda","GIOCO BASKET"
3512,07/10/17,"Imola","Leonardo","GIOCO BASKET"
3512,07/10/17,"Padova","Le Centurie","GIOCO BASKET"
3512,07/10/17,"Pinerolo","Le Due Valli","GIOCO BASKET"
3512,07/10/17,"Torino","Auchan Torino","GIOCO BASKET"
3512,07/10/17,"Treviso","I Giardini Del Sole","GIOCO BASKET"
3512,07/10/17,"Formia","Centro commerciale Itaca ","GIOCO BASKET"
3512,07/10/17,"Quarto","Quarto Nuovo","GIOCO BASKET"
3512,07/10/17,"Pescara","Centro D'Abruzzo","GIOCO BASKET"
3512,07/10/17,"Guidonia Montecelio","Tiburtino Shopping ","GIOCO BASKET"
3512,07/10/17,"Aprilia","Aprilia 2","GIOCO BASKET"
3512,07/10/17,"Brescia","Freccia Rossa","GIOCO BASKET"
3512,08/10/17,"Imola","Leonardo","GIOCO BASKET"
3512,08/10/17,"Padova","Le Centurie","GIOCO BASKET"
3512,08/10/17,"Pinerolo","Le Due Valli","GIOCO BASKET"
3512,08/10/17,"Torino","Auchan Torino","GIOCO BASKET"
3512,08/10/17,"Treviso","I Giardini Del Sole","GIOCO BASKET"
3512,08/10/17,"Formia","Centro commerciale Itaca ","GIOCO BASKET"
3512,08/10/17,"Quarto","Quarto Nuovo","GIOCO BASKET"
3512,08/10/17,"Pescara","Centro D'Abruzzo","GIOCO BASKET"
3512,08/10/17,"Guidonia Montecelio","Tiburtino Shopping ","GIOCO BASKET"
3512,08/10/17,"Aprilia","Aprilia 2","GIOCO BASKET"
3512,08/10/17,"Brescia","Freccia Rossa","GIOCO BASKET"
3512,14/10/17,"Biella","Centro commerciale Gli Orsi","GIOCO BASKET"
3512,14/10/17,"Ferrara","Il Castello","GIOCO BASKET"
3512,14/10/17,"Genova","L'Aquilone","GIOCO BASKET"
3512,14/10/17,"Ravenna","Esp Ravenna","GIOCO BASKET"
3512,14/10/17,"Rovigo","Centro Friuli","GIOCO BASKET"
3512,14/10/17,"Afragola","Le Porte Di Napoli","GIOCO BASKET"
3512,14/10/17,"Giugliano In Campania","Auchan Giugliano","GIOCO BASKET"
3512,14/10/17,"Pescara","Centro D'Abruzzo","GIOCO BASKET"
3512,14/10/17,"Teramo","Centro Gran Sasso","GIOCO BASKET"
3512,14/10/17,"Chieti","Megalò","GIOCO BASKET"
3512,14/10/17,"San Giovanni La Punta","Le Zagare","GIOCO BASKET"
3512,14/10/17,"Mesagne","Auchan Mesagne","GIOCO BASKET"
3512,14/10/17,"Brindisi","Le Colonne","GIOCO BASKET"
3512,14/10/17,"Olbia","Auchan Olbia","GIOCO BASKET"
3512,14/10/17,"San Rocco Al Porto","Auchan San Rocco Al Porto","GIOCO BASKET"
3512,14/10/17,"Mapello","Continente Mapello","GIOCO BASKET"
3512,15/10/17,"Biella","Centro commerciale Gli Orsi","GIOCO BASKET"
3512,15/10/17,"Ferrara","Il Castello","GIOCO BASKET"
3512,15/10/17,"Genova","L'Aquilone","GIOCO BASKET"
3512,15/10/17,"Ravenna","Esp Ravenna","GIOCO BASKET"
3512,15/10/17,"Rovigo","Centro Friuli","GIOCO BASKET"
3512,15/10/17,"Afragola","Le Porte Di Napoli","GIOCO BASKET"
3512,15/10/17,"Giugliano In Campania","Auchan Giugliano","GIOCO BASKET"
3512,15/10/17,"Pescara","Centro D'Abruzzo","GIOCO BASKET"
3512,15/10/17,"Teramo","Centro Gran Sasso","GIOCO BASKET"
3512,15/10/17,"Chieti","Megalò","GIOCO BASKET"
3512,15/10/17,"San Giovanni La Punta","Le Zagare","GIOCO BASKET"
3512,15/10/17,"Mesagne","Auchan Mesagne","GIOCO BASKET"
3512,15/10/17,"Brindisi","Le Colonne","GIOCO BASKET"
3512,15/10/17,"Olbia","Auchan Olbia","GIOCO BASKET"
3512,15/10/17,"San Rocco Al Porto","Auchan San Rocco Al Porto","GIOCO BASKET"
3512,15/10/17,"Mapello","Continente Mapello","GIOCO BASKET"
3512,21/10/17,"Moncalieri","Le Porte Di Moncalieri","GIOCO BASKET"
3512,21/10/17,"Pinerolo","Le Due Valli","GIOCO BASKET"
3512,21/10/17,"Ravenna","Esp Ravenna","GIOCO BASKET"
3512,21/10/17,"Venaria Reale","Auchan Venaria","GIOCO BASKET"
3512,21/10/17,"Venezia","Auchan Porte Di Mestre","GIOCO BASKET"
3512,21/10/17,"Verona","Auchan Porte Dell'Adige","GIOCO BASKET"
3512,21/10/17,"Mugnano Di Napoli","Auchan Mugnano","GIOCO BASKET"
3512,21/10/17,"Latina","Latina Fiori","GIOCO BASKET"
3512,21/10/17,"Pescara","Auchan Pescara","GIOCO BASKET"
3512,21/10/17,"Taranto","Auchan Taranto","GIOCO BASKET"
3512,21/10/17,"Ascoli Piceno","Citta Delle Stelle","GIOCO BASKET"
3512,21/10/17,"Messina","Tremestieri","GIOCO BASKET"
3512,21/10/17,"Cavallino","Centro commerciale di Cavallino","GIOCO BASKET"
3512,21/10/17,"Livorno","Fonti Del Corallo","GIOCO BASKET"
3512,21/10/17,"Viterbo","Centro commerciale Tuscia","GIOCO BASKET"
3512,21/10/17,"Roma","Cinecittà Due","GIOCO BASKET"
3512,21/10/17,"Roma","Euroma 2","GIOCO BASKET"
